"ampr","ampr_nb","number"
เขตพระนคร,"01",1777
เขตดุสิต,"02",542
เขตหนองจอก,"03",1097
เขตบางรัก,"04",1031
เขตบางกะปิ,"06",417
เขตปทุมวัน,"07",618
เขตป้อมปราบศัตรูพ่าย,"08",54
เขตพระโขนง,"09",789
เขตมีนบุรี,"10",4606
เขตลาดกระบัง,"11",2527
เขตยานนาวา,"12",1245
เขตสัมพันธวงศ์,"13",784
เขตพญาไท,"14",197
เขตธนบุรี,"15",2315
เขตบางกอกใหญ่,"16",1846
เขตห้วยขวาง,"17",324
เขตคลองสาน,"18",443
เขตตลิ่งชัน,"19",2754
เขตบางขุนเทียน,"21",2943
เขตภาษีเจริญ,"22",1636
เขตหนองแขม,"23",5730
เขตราษฎร์บูรณะ,"24",1669
เขตบางพลัด,"25",16
เขตดินแดง,"26",508
เขตบึงกุ่ม,"27",4226
เขตสาทร,"28",305
เขตบางซื่อ,"29",537
เขตจตุจักร,"30",906
เขตบางคอแหลม,"31",2554
เขตประเวศ,"32",679
เขตคลองเตย,"33",1456
เขตสวนหลวง,"34",3484
เขตจอมทอง,"35",551
เขตดอนเมือง,"36",729
เขตราชเทวี,"37",38
เขตลาดพร้าว,"38",65
เขตวัฒนา,"39",100
เขตบางแค,"40",4261
เขตหลักสี่,"41",7450
เขตสายไหม,"42",2152
เขตคันนายาว,"43",26
เขตสะพานสูง,"44",1571
เขตวังทองหลาง,"45",2
เขตคลองสามวา,"46",2610
เขตบางนา,"47",2788
เขตทวีวัฒนา,"48",1518
เขตทุ่งครุ,"49",1525
เขตบางบอน,"50",844
