"number","hosname","hcode1","ampr_nb","amprhcode","hnamehos","hmain2","ampr_main_nb"
2,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข9  ประชาธิปไตย,"13654","01"
2,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข1 สะพานมอญ,"13646","01"
12,ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,"13692","19",เขตตลิ่งชัน,รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"11535","02"
1,ศูนย์บริการสาธารณสุข61 สังวาลย์ ทัสนารมย์,"13704","42",เขตสายไหม,รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"11535","02"
1,ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,"13656","14",เขตพญาไท,รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"11535","02"
6,ศูนย์บริการสาธารณสุข67 ทวีวัฒนา,"23229","48",เขตทวีวัฒนา,รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"11535","02"
1,รพ.วชิรโรงพยาบาล คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"11535","02",เขตดุสิต,ศูนย์บริการสาธารณสุข38 จี๊ด-ทองคำบำเพ็ญ,"13683","02"
2,ศูนย์บริการสาธารณสุข38 จี๊ด-ทองคำบำเพ็ญ,"13683","02",เขตดุสิต,รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"11535","02"
25,ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,"42790","27",เขตบึงกุ่ม,ศูนย์บริการสาธารณสุข38 จี๊ด-ทองคำบำเพ็ญ,"13683","02"
20,ศูนย์บริการสาธารณสุข6 สโมสรวัฒนธรรมหญิง,"13651","02",เขตดุสิต,รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"11535","02"
7,ศูนย์บริการสาธารณสุข3 บางซื่อ,"13648","29",เขตบางซื่อ,รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"11535","02"
1,ศูนย์บริการสาธารณสุข8  บุญรอด รุ่งเรือง,"13653","47",เขตบางนา,รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"11535","02"
6,ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,"13664","29",เขตบางซื่อ,รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"11535","02"
1,ศูนย์บริการสาธารณสุข50 บึงกุ่ม,"13693","27",เขตบึงกุ่ม,รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"11535","02"
1,ศูนย์บริการสาธารณสุข65 รักษาศุข บางบอน,"21486","50",เขตบางบอน,รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"11535","02"
1,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข38 จี๊ด-ทองคำบำเพ็ญ,"13683","02"
3,ศูนย์บริการสาธารณสุข45 ร่มเกล้า ลาดกระบัง,"21755","11",เขตลาดกระบัง,รพ.เวชการุณย์รัศมิ์,"11536","03"
2,ศูนย์บริการสาธารณสุข68 สะพานสูง,"23159","44",เขตสะพานสูง,รพ.เวชการุณย์รัศมิ์,"11536","03"
6,ศูนย์บริการสาธารณสุข8  บุญรอด รุ่งเรือง,"13653","47",เขตบางนา,รพ.เวชการุณย์รัศมิ์,"11536","03"
1,ศูนย์บริการสาธารณสุข35 หัวหมาก,"13680","06",เขตบางกะปิ,รพ.เวชการุณย์รัศมิ์,"11536","03"
