"number","ampr_nb","tumbon_nb","ampr_main_nb","tumbon_main_nb"
208,"01","02","08","02"
3,"01","02","20","04"
1,"01","10","41","01"
2,"01","10","07","03"
1,"01","02","17","02"
1553,"01","10","08","02"
2,"01","02","37","01"
6,"01","10","20","04"
1,"01","10","42","03"
2,"02","06","02","02"
490,"02","04","08","02"
5,"02","04","31","01"
13,"02","04","37","02"
2,"02","04","43","01"
2,"02","06","08","02"
20,"02","04","02","02"
1,"02","02","02","06"
1,"02","02","25","02"
1,"02","02","29","01"
5,"02","04","40","03"
699,"03","07","03","01"
2,"03","07","08","02"
14,"03","07","11","01"
3,"03","07","31","01"
1,"03","07","37","02"
1,"03","07","47","01"
7,"03","07","17","02"
13,"03","07","32","01"
12,"03","07","10","01"
1,"03","07","37","01"
344,"03","07","43","01"
1,"04","05","37","01"
9,"04","02","28","01"
213,"04","05","04","02"
1,"04","05","17","04"
1,"04","05","37","02"
8,"04","05","47","01"
142,"04","05","07","03"
1,"04","02","12","03"
2,"04","02","31","02"
642,"04","05","08","02"
1,"04","05","18","02"
6,"04","05","31","01"
1,"04","05","34","01"
3,"04","05","35","03"
1,"06","08","03","01"
2,"06","08","07","03"
166,"06","08","32","01"
1,"06","08","20","04"
13,"06","08","34","01"
2,"06","08","37","01"
232,"06","08","17","02"
2,"07","02","10","01"
7,"07","02","04","02"
231,"07","02","07","03"
291,"07","02","08","02"
3,"07","02","37","01"
3,"07","02","40","03"
2,"07","04","04","02"
40,"07","04","07","03"
3,"07","04","10","01"
1,"07","04","11","01"
1,"07","04","17","02"
3,"07","02","07","02"
2,"07","02","31","01"
4,"07","04","07","02"
11,"07","04","08","02"
1,"07","04","18","02"
1,"07","04","31","01"
4,"07","04","32","01"
7,"07","04","33","03"
1,"07","04","37","01"
2,"08","02","01","02"
1,"08","02","02","06"
3,"08","02","07","02"
4,"08","02","13","01"
3,"08","02","15","04"
2,"08","02","16","01"
1,"08","02","18","02"
2,"08","02","18","03"
1,"08","02","19","02"
1,"08","02","22","08"
1,"08","02","25","02"
1,"08","02","28","01"
2,"08","02","31","01"
2,"08","02","37","02"
1,"08","02","40","04"
1,"08","02","46","03"
1,"08","02","12","03"
2,"08","02","01","10"
10,"08","02","08","05"
1,"08","02","14","01"
4,"08","02","20","04"
1,"08","02","23","02"
1,"08","02","24","01"
5,"08","02","33","01"
1,"08","02","36","02"
11,"09","05","07","03"
2,"09","05","09","05"
2,"09","05","10","01"
1,"09","05","18","02"
2,"09","05","31","01"
7,"09","05","33","03"
13,"09","05","04","02"
1,"09","05","42","03"
16,"09","05","47","01"
1,"09","05","15","04"
1,"09","05","20","04"
727,"09","05","32","01"
1,"09","05","11","01"
2,"09","05","34","01"
1,"09","05","35","03"
1,"09","05","37","01"
9,"10","01","37","01"
2,"10","01","17","02"
2,"10","01","18","02"
34,"10","01","32","01"
2,"10","01","41","01"
3579,"10","01","43","01"
1,"10","01","33","03"
771,"10","01","03","01"
3,"10","01","07","03"
130,"10","01","10","01"
2,"10","01","10","02"
63,"10","01","11","01"
3,"10","01","20","04"
3,"10","01","34","01"
1,"10","01","37","02"
1,"10","01","42","03"
3,"11","01","03","01"
3,"11","01","07","02"
2,"11","01","07","03"
3,"11","01","10","01"
4,"11","01","20","04"
275,"11","01","32","01"
1,"11","01","33","03"
54,"11","01","34","01"
3,"11","01","35","03"
5,"11","01","37","01"
1,"11","01","37","02"
2,"11","01","42","03"
1800,"11","01","11","01"
2,"11","01","15","04"
6,"11","01","17","02"
1,"11","01","18","02"
1,"11","01","31","01"
1,"11","01","40","03"
360,"11","01","43","01"
1,"12","04","40","03"
2,"12","03","08","02"
2,"12","04","07","03"
1,"12","04","24","02"
2,"12","04","35","03"
1,"12","04","04","02"
