"hcode1","hos_hcode","zone_hcode","hmain2","hos_hmain","prov_hcode","prov_hmain","prov2","zone_hmain2","chcode","cathmain","ampr_main_nb","ampr_nb","amprhcode","tumbon_main_nb","tumbon_nb","tumbon","hos_nb"
"11468",ทัณฑสถานโรงพยาบาลราชทัณฑ์,"13","13685",ศูนย์บริการสาธารณสุข40  บางแค,กรุงเทพฯ,กรุงเทพฯ,"1000","13","103001","10400400","40","30",เขตจตุจักร,"04","01",ลาดยาว,1
"11469",รพ.เลิดสิน,"13","14818",ศูนย์บริการสาธารณสุข63 สมาคมแต้จิ๋วแห่งประเทศไทย,กรุงเทพฯ,กรุงเทพฯ,"1000","13","100402","10280100","28","04",เขตบางรัก,"01","02",สีลม,9
"11478",รพ.สมเด็จพระปิ่นเกล้า,"13","13660",ศูนย์บริการสาธารณสุข15 ลาดพร้าว,กรุงเทพฯ,กรุงเทพฯ,"1000","13","101504","10170400","17","15",เขตธนบุรี,"04","04",บุคคโล,1
"11478",รพ.สมเด็จพระปิ่นเกล้า,"13","13661",ศูนย์บริการสาธารณสุข16 ลุมพินี,กรุงเทพฯ,กรุงเทพฯ,"1000","13","101504","10070400","07","15",เขตธนบุรี,"04","04",บุคคโล,1
"11478",รพ.สมเด็จพระปิ่นเกล้า,"13","13667",ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,กรุงเทพฯ,กรุงเทพฯ,"1000","13","101504","10340100","34","15",เขตธนบุรี,"01","04",บุคคโล,2
"11478",รพ.สมเด็จพระปิ่นเกล้า,"13","13668",ศูนย์บริการสาธารณสุข23 สี่พระยา,กรุงเทพฯ,กรุงเทพฯ,"1000","13","101504","10040500","04","15",เขตธนบุรี,"05","04",บุคคโล,5
"11478",รพ.สมเด็จพระปิ่นเกล้า,"13","13671",ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,กรุงเทพฯ,กรุงเทพฯ,"1000","13","101504","10150100","15","15",เขตธนบุรี,"01","04",บุคคโล,20
"11478",รพ.สมเด็จพระปิ่นเกล้า,"13","13673",ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,กรุงเทพฯ,กรุงเทพฯ,"1000","13","101504","10180300","18","15",เขตธนบุรี,"03","04",บุคคโล,7
"11478",รพ.สมเด็จพระปิ่นเกล้า,"13","13678",ศูนย์บริการสาธารณสุข33 วัดหงส์รัตนาราม,กรุงเทพฯ,กรุงเทพฯ,"1000","13","101504","10160100","16","15",เขตธนบุรี,"01","04",บุคคโล,3
"11478",รพ.สมเด็จพระปิ่นเกล้า,"13","13681",ศูนย์บริการสาธารณสุข36 บุคคโล,กรุงเทพฯ,กรุงเทพฯ,"1000","13","101504","10150400","15","15",เขตธนบุรี,"04","04",บุคคโล,37
