"ampr_nb","ampr","number"
"01",เขตพระนคร,695
"02",เขตดุสิต,961
"03",เขตหนองจอก,1178
"04",เขตบางรัก,604
"05",เขตบางเขน,1438
"06",เขตบางกะปิ,952
"07",เขตปทุมวัน,1058
"08",เขตป้อมปราบศัตรูพ่าย,61
"09",เขตพระโขนง,1216
"10",เขตมีนบุรี,909
"11",เขตลาดกระบัง,15305
"12",เขตยานนาวา,1157
"13",เขตสัมพันธวงศ์,99
"14",เขตพญาไท,1054
"15",เขตธนบุรี,1847
"16",เขตบางกอกใหญ่,944
"17",เขตห้วยขวาง,1331
"18",เขตคลองสาน,879
"19",เขตตลิ่งชัน,508
"20",เขตบางกอกน้อย,778
"21",เขตบางขุนเทียน,1508
"22",เขตภาษีเจริญ,1354
"23",เขตหนองแขม,1229
"24",เขตราษฎร์บูรณะ,2607
"25",เขตบางพลัด,420
"26",เขตดินแดง,1373
"27",เขตบึงกุ่ม,1393
"28",เขตสาทร,231
"29",เขตบางซื่อ,8014
"30",เขตจตุจักร,4034
"31",เขตบางคอแหลม,991
"32",เขตประเวศ,1032
"33",เขตคลองเตย,1572
"34",เขตสวนหลวง,1309
"35",เขตจอมทอง,2523
"36",เขตดอนเมือง,1411
"37",เขตราชเทวี,289
"38",เขตลาดพร้าว,204
"39",เขตวัฒนา,1585
"40",เขตบางแค,1153
"41",เขตหลักสี่,1176
"42",เขตสายไหม,1873
"43",เขตคันนายาว,301
"44",เขตสะพานสูง,949
"45",เขตวังทองหลาง,277
"46",เขตคลองสามวา,724
"47",เขตบางนา,2803
"48",เขตทวีวัฒนา,817
"49",เขตทุ่งครุ,3335
"50",เขตบางบอน,1617
