"province_name","province_id","number"
นนทบุรี,"1200",9989
พระนครศรีอยุธยา,"1400",1936
อ่างทอง,"1500",757
ลพบุรี,"1600",1167
ชัยนาท,"1800",383
ชลบุรี,"2000",2373
ระยอง,"2100",947
สระแก้ว,"2700",851
สุรินทร์,"3200",1406
อุบลราชธานี,"3400",1882
ยโสธร,"3500",787
บึงกาฬ,"3800",164
หนองบัวลำภู,"3900",371
หนองคาย,"4300",302
มหาสารคาม,"4400",950
กาฬสินธุ์,"4600",890
ลำพูน,"5100",148
อุตรดิตถ์,"5300",414
เชียงราย,"5700",583
แม่ฮ่องสอน,"5800",123
นครสวรรค์,"6000",948
ตาก,"6300",226
พิษณุโลก,"6500",540
พิจิตร,"6600",625
เพชรบูรณ์,"6700",878
สมุทรสงคราม,"7500",398
ประจวบคีรีขันธ์,"7700",686
นครศรีธรรมราช,"8000",844
กระบี่,"8100",115
ระนอง,"8500",141
ชุมพร,"8600",278
สตูล,"9100",64
ตรัง,"9200",300
พัทลุง,"9300",217
ยะลา,"9500",191
กรมแพทย์ทหารอากาศ,SP00,31
สมุทรปราการ,"1100",8177
ปทุมธานี,"1300",5948
สิงห์บุรี,"1700",407
สระบุรี,"1900",1094
จันทบุรี,"2200",796
ตราด,"2300",217
ฉะเชิงเทรา,"2400",1554
ปราจีนบุรี,"2500",1010
นครนายก,"2600",648
นครราชสีมา,"3000",1881
บุรีรัมย์,"3100",1242
ศรีสะเกษ,"3300",1865
ชัยภูมิ,"3600",888
อำนาจเจริญ,"3700",339
ขอนแก่น,"4000",1483
อุดรธานี,"4100",845
เลย,"4200",272
ร้อยเอ็ด,"4500",2056
สกลนคร,"4700",733
นครพนม,"4800",510
มุกดาหาร,"4900",232
เชียงใหม่,"5000",591
ลำปาง,"5200",524
แพร่,"5400",273
น่าน,"5500",189
พะเยา,"5600",329
อุทัยธานี,"6100",248
กำแพงเพชร,"6200",749
สุโขทัย,"6400",413
ราชบุรี,"7000",1924
กาญจนบุรี,"7100",1528
สุพรรณบุรี,"7200",1941
นครปฐม,"7300",2242
สมุทรสาคร,"7400",2384
เพชรบุรี,"7600",634
พังงา,"8200",138
ภูเก็ต,"8300",272
สุราษฎร์ธานี,"8400",471
สงขลา,"9000",562
ปัตตานี,"9400",211
นราธิวาส,"9600",305
กรมแพทย์ทหารเรือ,SN00,48
