"province_name","ampr_nb","ampr","number"
กรมแพทย์ทหารอากาศ,"30",เขตจตุจักร,2
กรมแพทย์ทหารอากาศ,"14",เขตพญาไท,1
กรมแพทย์ทหารอากาศ,"29",เขตบางซื่อ,4
กรมแพทย์ทหารอากาศ,"36",เขตดอนเมือง,4
กรมแพทย์ทหารอากาศ,"42",เขตสายไหม,2
กรมแพทย์ทหารอากาศ,"22",เขตภาษีเจริญ,12
กรมแพทย์ทหารอากาศ,"09",เขตพระโขนง,3
กรมแพทย์ทหารอากาศ,"07",เขตปทุมวัน,1
กรมแพทย์ทหารอากาศ,"33",เขตคลองเตย,2
กรมแพทย์ทหารเรือ,"16",เขตบางกอกใหญ่,2
กรมแพทย์ทหารเรือ,"29",เขตบางซื่อ,12
กรมแพทย์ทหารเรือ,"02",เขตดุสิต,1
กรมแพทย์ทหารเรือ,"04",เขตบางรัก,2
กรมแพทย์ทหารเรือ,"11",เขตลาดกระบัง,7
กรมแพทย์ทหารเรือ,"30",เขตจตุจักร,2
กรมแพทย์ทหารเรือ,"47",เขตบางนา,20
กรมแพทย์ทหารเรือ,"48",เขตทวีวัฒนา,2
กระบี่,"20",เขตบางกอกน้อย,1
กระบี่,"17",เขตห้วยขวาง,1
กระบี่,"23",เขตหนองแขม,3
กระบี่,"26",เขตดินแดง,2
กระบี่,"32",เขตประเวศ,1
กระบี่,"44",เขตสะพานสูง,3
กระบี่,"45",เขตวังทองหลาง,8
กระบี่,"50",เขตบางบอน,1
กระบี่,"11",เขตลาดกระบัง,12
กระบี่,"03",เขตหนองจอก,4
กระบี่,"15",เขตธนบุรี,5
กระบี่,"16",เขตบางกอกใหญ่,1
กระบี่,"22",เขตภาษีเจริญ,7
กระบี่,"25",เขตบางพลัด,14
กระบี่,"27",เขตบึงกุ่ม,6
กระบี่,"29",เขตบางซื่อ,16
กระบี่,"30",เขตจตุจักร,6
กระบี่,"33",เขตคลองเตย,1
กระบี่,"34",เขตสวนหลวง,3
กระบี่,"39",เขตวัฒนา,2
กระบี่,"40",เขตบางแค,4
กระบี่,"43",เขตคันนายาว,3
