province_name,เขตคลองสาน,เขตคลองสามวา,เขตคลองเตย,เขตคันนายาว,เขตจตุจักร,เขตจอมทอง,เขตดอนเมือง,เขตดินแดง,เขตดุสิต,เขตตลิ่งชัน,เขตทวีวัฒนา,เขตทุ่งครุ,เขตธนบุรี,เขตบางกอกน้อย,เขตบางกอกใหญ่,เขตบางกะปิ,เขตบางขุนเทียน,เขตบางคอแหลม,เขตบางซื่อ,เขตบางนา,เขตบางบอน,เขตบางพลัด,เขตบางรัก,เขตบางเขน,เขตบางแค,เขตบึงกุ่ม,เขตปทุมวัน,เขตประเวศ,เขตป้อมปราบศัตรูพ่าย,เขตพญาไท,เขตพระนคร,เขตพระโขนง,เขตภาษีเจริญ,เขตมีนบุรี,เขตยานนาวา,เขตราชเทวี,เขตราษฎร์บูรณะ,เขตลาดกระบัง,เขตลาดพร้าว,เขตวังทองหลาง,เขตวัฒนา,เขตสวนหลวง,เขตสะพานสูง,เขตสัมพันธวงศ์,เขตสาทร,เขตสายไหม,เขตหนองจอก,เขตหนองแขม,เขตหลักสี่,เขตห้วยขวาง
กรมแพทย์ทหารอากาศ,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
กรมแพทย์ทหารเรือ,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
กระบี่,0.0,1.0,1.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,5.0,1.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,14.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,2.0,3.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0
กาญจนบุรี,6.0,13.0,40.0,4.0,44.0,60.0,8.0,29.0,3.0,2.0,2.0,47.0,83.0,10.0,17.0,5.0,27.0,16.0,94.0,33.0,31.0,12.0,2.0,35.0,40.0,40.0,41.0,40.0,0.0,9.0,16.0,40.0,68.0,12.0,23.0,0.0,22.0,404.0,4.0,0.0,22.0,25.0,12.0,3.0,3.0,22.0,10.0,19.0,6.0,24.0
กาฬสินธุ์,22.0,23.0,14.0,6.0,32.0,35.0,15.0,16.0,21.0,2.0,3.0,31.0,11.0,4.0,13.0,7.0,33.0,12.0,109.0,14.0,17.0,0.0,15.0,2.0,20.0,7.0,7.0,19.0,0.0,10.0,13.0,7.0,12.0,6.0,10.0,2.0,23.0,120.0,4.0,0.0,32.0,29.0,15.0,2.0,0.0,11.0,38.0,15.0,23.0,8.0
กำแพงเพชร,0.0,4.0,8.0,1.0,23.0,8.0,2.0,19.0,15.0,1.0,21.0,9.0,7.0,6.0,25.0,4.0,26.0,3.0,47.0,26.0,23.0,121.0,3.0,15.0,22.0,14.0,7.0,11.0,0.0,3.0,9.0,10.0,3.0,3.0,18.0,10.0,31.0,83.0,0.0,20.0,3.0,5.0,10.0,0.0,1.0,13.0,22.0,1.0,17.0,16.0
ขอนแก่น,53.0,9.0,9.0,2.0,43.0,16.0,17.0,24.0,13.0,10.0,15.0,57.0,42.0,2.0,12.0,18.0,30.0,45.0,92.0,191.0,49.0,0.0,8.0,14.0,15.0,13.0,6.0,42.0,0.0,6.0,0.0,8.0,29.0,9.0,31.0,4.0,48.0,285.0,6.0,19.0,37.0,37.0,11.0,3.0,0.0,15.0,56.0,11.0,7.0,14.0
จันทบุรี,0.0,3.0,0.0,0.0,9.0,56.0,1.0,4.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,6.0,21.0,15.0,33.0,8.0,12.0,0.0,7.0,1.0,2.0,19.0,7.0,19.0,0.0,4.0,19.0,1.0,7.0,21.0,2.0,0.0,18.0,378.0,15.0,0.0,3.0,10.0,7.0,12.0,3.0,23.0,14.0,9.0,7.0,10.0
ฉะเชิงเทรา,0.0,20.0,15.0,6.0,56.0,16.0,22.0,1.0,18.0,5.0,3.0,15.0,22.0,12.0,0.0,29.0,25.0,5.0,53.0,39.0,6.0,0.0,5.0,9.0,19.0,35.0,14.0,15.0,0.0,1.0,3.0,37.0,8.0,74.0,25.0,5.0,15.0,604.0,1.0,5.0,18.0,21.0,35.0,3.0,4.0,6.0,156.0,4.0,11.0,53.0
ชลบุรี,9.0,24.0,55.0,13.0,49.0,53.0,17.0,30.0,23.0,13.0,4.0,22.0,11.0,11.0,20.0,10.0,21.0,32.0,93.0,113.0,41.0,0.0,23.0,21.0,3.0,50.0,6.0,31.0,1.0,23.0,17.0,25.0,23.0,61.0,18.0,6.0,40.0,1088.0,4.0,0.0,53.0,39.0,21.0,0.0,9.0,29.0,22.0,21.0,14.0,61.0
