"pdx","diease"
I10,28849
E119,21287
Z480,14493
Z017,5603
J00,5346
K021,4043
E785,3122
J069,3035
R42,2483
E118,2138
K051,1815
A099,1812
J029,1623
K053,1620
Z242,1376
E780,1298
K30,1267
K045,1210
R509,1070
K040,1050
E782,969
K047,825
B342,813
L309,808
K083,802
E112,758
M626,719
J304,562
J209,533
Z717,491
D649,488
N390,466
L239,455
K006,448
N189,447
K297,444
L029,442
L984,439
R05,432
J459,431
K041,424
Z235,390
Z751,388
Z718,381
K031,362
B24,358
B972,343
J039,332
M7918,321
M545,316
Z719,311
J40,307
L039,304
R51,302
E789,301
H103,297
R21,287
M179,285
R104,284
K219,281
A150,276
H000,276
M750,275
R53,266
M62,261
A090,259
Z251,257
Z769,253
N300,251
E113,249
H109,248
K590,233
K029,231
J02,229
H811,225
R002,224
K050,219
Z135,218
F411,217
F900,212
F320,210
Z203,209
J03,208
E788,208
F209,205
G442,204
A90,193
E114,193
M7919,187
L031,185
L509,183
R510,181
E117,176
K011,175
N309,172
L024,172
H813,168
M7911,167
K046,167
E109,167
M791,163
A084,163
G470,161
K291,160
L023,158
B084,158
L600,156
K044,156
Z000,152
L089,144
M170,143
Z115,139
L209,137
Z012,136
Z418,134
C509,133
J028,133
R074,128
K529,124
L500,124
R11,124
L030,123
E059,119
R100,117
H350,116
R55,115
M7916,112
M7910,109
M6268,109
H00,107
G439,107
Z038,106
R060,106
Z712,105
K802,101
Z202,101
Z016,98
A059,98
J020,98
K052,97
F1500,97
H101,96
Z48,95
Z519,94
Z008,93
N946,92
M620,91
F419,90
M4796,88
H669,88
L028,88
K120,86
N40,85
F510,84
M6269,83
R10,83
Z238,82
Z501,80
L84,77
R000,77
M6261,76
B349,76
M6266,75
B029,73
Z08,72
A08,72
I519,72
Z00,71
M6534,71
J189,70
R300,70
K279,70
M4716,68
H100,67
M6265,66
A549,66
N185,65
L24,65
C539,63
L303,63
H612,62
L299,62
K020,62
H605,62
A081,61
R33,61
K030,60
R31,60
F2098,59
H10,59
H609,59
L040,58
H269,57
K21,57
B07,57
K35,57
H814,57
H250,57
A049,56
H920,55
M109,55
F329,54
E039,54
M7967,54
F2088,54
F32,54
U099,53
H110,53
J449,53
R35,52
R30,52
R102,51
B019,51
L853,51
K29,51
Z725,50
M7917,50
J20,50
R208,49
E784,49
E110,49
M752,49
D17,49
G629,49
R731,48
N939,47
G560,47
A153,47
K036,47
F200,47
R600,46
Z489,46
Z027,46
H010,45
I500,45
E669,45
R229,45
Z514,45
R103,44
G819,44
H041,44
R064,44
P599,44
L010,43
R222,43
Z001,43
M4782,43
L22,43
R739,42
I251,42
A519,42
M940,42
H108,42
M6260,41
B373,41
G409,41
M7797,41
E149,40
E058,40
N183,40
R1049,40
I694,39
K039,39
F410,39
I849,38
K032,38
C189,38
M7915,38
A528,38
G440,38
R91,37
N938,37
L249,37
M7966,37
M6267,36
C679,36
J019,36
R119,36
N93,36
R634,36
Z018,36
R042,36
G510,35
Z768,35
I639,35
H258,35
M7914,35
K922,35
Z099,34
H650,34
M653,34
F152,34
Z715,34
H931,34
H81,34
F29,34
N184,34
F1123,34
K37,33
L022,33
K528,33
F83,33
D569,33
M1009,33
S913,33
H60,33
F2090,33
G430,32
N760,32
B09,32
K073,32
A91,32
L97,32
L020,32
F809,31
N39,31
L308,31
E781,31
R609,31
F2000,31
J111,31
U071,31
L02,30
M171,30
C61,30
F112,30
B34,30
B354,30
K0519,30
A540,30
Z33,30
R073,30
F89,30
R040,29
A419,29
R14,29
B009,29
M1098,29
J303,29
M148,29
I159,29
I693,28
A160,28
N209,28
E079,28
K819,28
G540,28
N10,28
M797,28
L03,27
I259,27
H539,27
I842,27
K409,27
O600,27
B351,27
R221,27
B353,27
L04,26
E116,26
I64,26
M7928,26
Z309,26
Z304,26
A539,26
G448,26
A083,26
K591,25
H660,25
R529,25
G479,25
I845,25
F559,25
J219,25
M2556,24
L50,24
J45,24
A151,24
A085,24
Z201,24
J851,24
J101,24
B085,24
L720,23
E115,23
M512,23
R070,23
R251,23
E107,23
H113,23
L60,23
R252,23
B370,23
R69,23
L23,23
F432,23
B088,23
N201,23
A162,22
H104,22
M766,22
N92,22
D638,22
B02,22
B182,22
N739,21
E05,21
L20,21
I822,21
N319,21
F2080,21
M722,21
E660,21
B022,21
N926,21
M100,21
J46,21
L049,21
F819,21
M543,21
Z206,21
M17,21
M1099,21
R101,20
I517,20
M7964,20
Z760,20
L238,20
G44,20
J301,20
N63,20
A54,20
A499,20
A513,20
B00,20
D291,20
K282,20
M479,20
F2095,20
O998,20
Z124,20
M7796,20
H603,20
E876,20
E875,20
H259,20
Z138,20
H538,19
F41,19
C184,19
E877,19
M792,19
A64,19
N459,19
L259,19
A541,19
K210,19
N911,19
R22,19
E162,19
H571,19
M255,19
E66,18
M7912,18
M754,18
D509,18
D259,18
L508,18
K121,18
B309,18
O208,18
M65,18
R620,18
M5499,18
I872,18
R224,18
J118,18
M4712,18
A05,18
O000,18
K112,18
D64,18
M779,17
E871,17
Z503,17
O200,17
K602,17
M796,17
L609,17
N179,17
C637,17
L910,17
K296,17
L021,17
I499,17
Z098,17
B37,17
R629,17
K081,17
Z019,16
M1398,16
M1097,16
D103,16
J30,16
M76,16
M7618,16
M7794,16
I698,16
A310,16
H61,16
H409,16
H400,16
R233,16
N912,16
M4787,16
M6262,16
C349,16
N18,16
M7913,16
U072,16
M79,16
C20,16
I840,16
N751,16
R730,16
N74,15
H049,15
J068,15
Z271,15
M13,15
R17,15
H02,15
H105,15
H810,15
R500,15
E790,15
S610,15
S711,15
J01,15
E050,15
R202,15
J42,15
Z108,15
C56,15
B001,15
M609,15
K358,15
M10,15
M549,15
K522,15
M1397,15
L721,15
G406,15
N47,15
D692,14
Z01,14
M751,14
D50,14
G06,14
M7924,14
G619,14
C845,14
M519,14
C549,14
M478,14
L501,14
U630,14
L301,14
E539,14
I48,14
M174,14
J329,14
J441,14
E041,14
K033,14
G43,14
K52,14
N342,14
M2558,14
M4806,14
N809,14
H521,14
D690,13
M7971,13
M2561,13
A498,13
H001,13
L08,13
L219,13
N200,13
H579,13
C859,13
N649,13
K122,13
L236,13
M2557,13
B30,13
Z300,13
Z30,13
D179,13
D683,13
F2085,13
F339,13
N399,13
I252,13
I691,13
M7793,13
J108,13
B000,13
M6264,13
L033,13
E160,12
N644,12
I249,12
H160,12
Z479,12
D043,12
L208,12
H608,12
Z76,12
Z299,12
G900,12
A048,12
L409,12
Z349,12
J989,12
G569,12
B359,12
D530,12
M77,12
M199,12
E031,12
H542,12
M4792,12
M6580,12
K746,12
G438,11
B181,11
E11,11
L608,11
R945,11
I119,11
L237,11
M7791,11
R601,11
J31,11
F321,11
J208,11
S019,11
E291,11
Z910,11
N30,11
I679,11
L00,11
C241,11
G54,11
K59,11
J060,11
N944,11
D728,11
M139,11
H251,11
T141,11
B379,11
R34,11
E108,11
Z131,11
E890,11
M7799,11
K921,11
C502,11
R25,11
R223,11
F51,11
M1396,11
J310,11
F430,11
Q623,10
L729,10
B209,10
M6263,10
Z290,10
H438,10
D440,10
R501,10
F06,10
N920,10
F150,10
M7109,10
F98,10
L080,10
B01,10
M7106,10
L038,10
K610,10
M7946,10
I49,10
L298,10
L30,10
N308,10
M54,10
N485,10
N289,10
L032,10
R591,10
A169,10
I471,10
I678,10
C220,10
Z340,10
K299,10
A530,10
C159,9
R52,9
L088,9
H019,9
M1029,9
Z51,9
A168,9
J038,9
H360,9
R200,9
J030,9
L639,9
K054,9
M480,9
R590,9
M7925,9
B35,9
Z512,9
Z273,9
H102,9
S819,9
M771,9
E10,9
M7798,9
R628,9
S519,9
K810,9
K803,9
G441,9
M542,9
K563,9
L950,9
Z47,9
K273,9
Z71,9
B356,9
H354,9
K0880,9
K02,9
A920,9
H600,9
M7108,9
J348,9
H729,9
N131,9
L739,9
Z024,9
A38,9
H903,9
M7975,9
H919,9
R54,9
B330,9
A515,8
M41,8
D648,8
F412,8
E611,8
J312,8
N832,8
R001,8
M7795,8
J040,8
N925,8
H912,8
H918,8
H402,8
F2028,8
Z274,8
K103,8
L700,8
K12,8
K828,8
F319,8
M4316,8
L011,8
M8199,8
H111,8
M131,8
Z114,8
G530,8
C629,8
L88,8
M4722,8
R062,8
I510,8
Z090,8
N830,8
C492,8
K589,8
N951,8
Z014,8
M7961,8
K58,8
J128,8
A829,8
N359,8
N133,8
C419,8
K612,8
C719,8
R220,8
N959,8
N73,8
J439,7
M25,7
M6524,7
B269,7
F840,7
K629,7
Z298,7
G64,7
K076,7
N921,7
B059,7
