"hosname","amprhcode","pdx","diease"
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,E789,4
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,E789,1
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,F510,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,G43,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,G463,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,G470,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,H669,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,D560,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,H81,10
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,A049,4
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,I10,70
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,J00,41
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,J00,14
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,J028,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,J068,4
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,J069,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,J304,14
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,E119,210
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,J310,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,J40,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,E112,4
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,A513,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,K021,9
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,K031,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,K040,6
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,K047,6
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,K219,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,K291,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,K30,10
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,K30,7
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,K528,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,L040,1
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,L219,1
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,L239,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,L509,6
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,M12,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,M17,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,M626,12
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,M7918,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,N300,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,N390,4
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,N399,3
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,N938,4
