"yearmonth","hosname","amprhcode","ampr_nb","hnamehos","ampr_main_nb","timecup"
"256506",คลินิกเวชกรรมแพทย์อ่อนนุช 44,เขตสวนหลวง,"34",ศูนย์บริการสาธารณสุข37 ประสงค์ -สุดสาคร,"34",17
"256506",ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,เขตบึงกุ่ม,"27",รพ.ทั่วไปขนาดใหญ่แพทย์ปัญญา,"34",2
"256506",ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,เขตบึงกุ่ม,"27",รพ.นพรัตนราชธานี,"43",4
"256506",ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,เขตบึงกุ่ม,"27",รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"17",5
"256506",ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,เขตบึงกุ่ม,"27",ศูนย์บริการสาธารณสุข35 หัวหมาก,"06",2
"256506",ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,เขตบึงกุ่ม,"27",ศูนย์บริการสาธารณสุข38 จี๊ด-ทองคำบำเพ็ญ,"02",5
"256506",ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,เขตบึงกุ่ม,"27",ศูนย์บริการสาธารณสุข50 บึงกุ่ม,"27",16
"256506",ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,เขตบึงกุ่ม,"27",ศูนย์บริการสาธารณสุข64 คลองสามวา,"46",11
"256506",ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,เขตบึงกุ่ม,"27",ศูนย์บริการสาธารณสุข68 สะพานสูง,"44",2
"256506",ศูนย์บริการสาธารณสุข1 สะพานมอญ,เขตพระนคร,"01",รพ.ศิริราช,"20",3
"256506",ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,เขตพญาไท,"14",รพ.บางมดโรงพยาบาลทั่วไปขนาดใหญ่,"35",1
"256506",ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,เขตพญาไท,"14",รพ.มงกุฎวัฒนะ,"41",25
"256506",ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,เขตพญาไท,"14",รพ.ราชวิถี,"37",1
"256506",ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,เขตพญาไท,"14",รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"02",1
"256506",ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,เขตพญาไท,"14",รพ.เจริญกรุงประชารักษ์,"31",3
"256506",ศูนย์บริการสาธารณสุข12 จันทร์เที่ยง เนตรวิเศษ,เขตบางคอแหลม,"31",รพ.กลาง,"08",1
"256506",ศูนย์บริการสาธารณสุข12 จันทร์เที่ยง เนตรวิเศษ,เขตบางคอแหลม,"31",รพ.จุฬาลงกรณ์สภากาชาดไทย,"07",2
"256506",ศูนย์บริการสาธารณสุข12 จันทร์เที่ยง เนตรวิเศษ,เขตบางคอแหลม,"31",รพ.ภูมิพลอดุลยเดช,"42",1
"256506",ศูนย์บริการสาธารณสุข12 จันทร์เที่ยง เนตรวิเศษ,เขตบางคอแหลม,"31",รพ.สิรินธร,"32",2
"256506",ศูนย์บริการสาธารณสุข12 จันทร์เที่ยง เนตรวิเศษ,เขตบางคอแหลม,"31",รพ.เลิดสิน,"04",2
"256506",ศูนย์บริการสาธารณสุข13 ไมตรีวานิช,เขตสัมพันธวงศ์,"13",รพ.ศิริราช,"20",2
"256506",ศูนย์บริการสาธารณสุข14 แก้ว สีบุญเรือง,เขตบางคอแหลม,"31",รพ.จุฬาลงกรณ์สภากาชาดไทย,"07",2
"256506",ศูนย์บริการสาธารณสุข14 แก้ว สีบุญเรือง,เขตบางคอแหลม,"31",รพ.เจริญกรุงประชารักษ์,"31",394
"256506",ศูนย์บริการสาธารณสุข14 แก้ว สีบุญเรือง,เขตบางคอแหลม,"31",รพ.เลิดสิน,"04",2
"256506",ศูนย์บริการสาธารณสุข15 ลาดพร้าว,เขตห้วยขวาง,"17",รพ.ตำรวจ,"07",4
"256506",ศูนย์บริการสาธารณสุข15 ลาดพร้าว,เขตห้วยขวาง,"17",รพ.ทั่วไปขนาดใหญ่แพทย์ปัญญา,"34",6
"256506",ศูนย์บริการสาธารณสุข15 ลาดพร้าว,เขตห้วยขวาง,"17",รพ.นพรัตนราชธานี,"43",7
"256506",ศูนย์บริการสาธารณสุข15 ลาดพร้าว,เขตห้วยขวาง,"17",รพ.มงกุฎวัฒนะ,"41",3
"256506",ศูนย์บริการสาธารณสุข15 ลาดพร้าว,เขตห้วยขวาง,"17",รพ.ศิริราช,"20",3
"256506",ศูนย์บริการสาธารณสุข15 ลาดพร้าว,เขตห้วยขวาง,"17",รพ.สมเด็จพระปิ่นเกล้า,"15",2
"256506",ศูนย์บริการสาธารณสุข15 ลาดพร้าว,เขตห้วยขวาง,"17",รพ.เจริญกรุงประชารักษ์,"31",1
"256506",ศูนย์บริการสาธารณสุข15 ลาดพร้าว,เขตห้วยขวาง,"17",รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"17",14
"256506",ศูนย์บริการสาธารณสุข15 ลาดพร้าว,เขตห้วยขวาง,"17",รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"24",1
"256506",ศูนย์บริการสาธารณสุข16 ลุมพินี,เขตปทุมวัน,"07",นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"10",3
"256506",ศูนย์บริการสาธารณสุข16 ลุมพินี,เขตปทุมวัน,"07",รพ.กลาง,"08",5
"256506",ศูนย์บริการสาธารณสุข16 ลุมพินี,เขตปทุมวัน,"07",รพ.จุฬาลงกรณ์สภากาชาดไทย,"07",4
"256506",ศูนย์บริการสาธารณสุข16 ลุมพินี,เขตปทุมวัน,"07",รพ.ตำรวจ,"07",25
"256506",ศูนย์บริการสาธารณสุข16 ลุมพินี,เขตปทุมวัน,"07",รพ.ลาดกระบังกรุงเทพมหานคร,"11",1
"256506",ศูนย์บริการสาธารณสุข16 ลุมพินี,เขตปทุมวัน,"07",รพ.สิรินธร,"32",2
"256506",ศูนย์บริการสาธารณสุข16 ลุมพินี,เขตปทุมวัน,"07",รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"17",1
"256506",ศูนย์บริการสาธารณสุข18  มงคล วอนวังตาล,เขตบางคอแหลม,"31",รพ.เจริญกรุงประชารักษ์,"31",589
"256506",ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,"29",รพ.กลาง,"08",83
"256506",ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,"29",รพ.ภูมิพลอดุลยเดช,"42",3
"256506",ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,"29",รพ.มงกุฎวัฒนะ,"41",31
"256506",ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,"29",รพ.ราชวิถี,"37",2
"256506",ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,"29",รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"02",6
"256506",ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,"29",สถาบันพัฒนาสุขภาวะเขตเมือง,"05",1
"256506",ศูนย์บริการสาธารณสุข2 วัดมักกะสัน,เขตราชเทวี,"37",รพ.รามาธิบดี  มหาวิทยาลัยมหิดล,"37",3
"256506",ศูนย์บริการสาธารณสุข21 วัดธาตุทอง,เขตวัฒนา,"39",รพ.ตำรวจ,"07",35
"256506",ศูนย์บริการสาธารณสุข21 วัดธาตุทอง,เขตวัฒนา,"39",รพ.ทั่วไปขนาดใหญ่แพทย์ปัญญา,"34",1
"256506",ศูนย์บริการสาธารณสุข21 วัดธาตุทอง,เขตวัฒนา,"39",รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"17",5
"256506",ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,เขตสวนหลวง,"34",รพ.กลาง,"08",7
"256506",ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,เขตสวนหลวง,"34",รพ.จุฬาลงกรณ์สภากาชาดไทย,"07",3
"256506",ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,เขตสวนหลวง,"34",รพ.ตำรวจ,"07",3
"256506",ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,เขตสวนหลวง,"34",รพ.ทั่วไปขนาดใหญ่แพทย์ปัญญา,"34",75
"256506",ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,เขตสวนหลวง,"34",รพ.ภูมิพลอดุลยเดช,"42",3
