"hcode","hname","hlevel","hclass","drug_store","clinic","clinic_lab","private_hospital","datein","datein_fyear","dateout","htype","htype_name","subtype","sub_type_name","sub_type_name_uhosnet","innovation_unit","uhosnet","status_uc","catm6","province_id","prov","ampr","tumbon","nhso_zone","nhso_zonename","latitude","longitude","ingest_tm"
"00000",หน่วยเดิมยกเลิกสัญญา อยู่ระหว่างจัดหาหน่วยใหม่,"35",M,,,,,2022-09-28 00:00:00.000,"2022",,"0015",รัฐพิเศษ,"001504",ศูนย์วิชาการ (หน่วยราชการอิสระ),รัฐพิเศษ,,,"7","104101","1000",กรุงเทพฯ,เขตหลักสี่,ทุ่งสองห้อง,"13",เขต 13 กรุงเทพมหานคร,,,"20230425104911"
"23350",คลินิกการแพทย์แผนไทยรัตนะชัย,"36",Z,,,,,2009-04-27 00:00:00.000,"2009",,"0013",เอกชน,"001305",คลินิก (เอกชน),เอกชน,,,"2","100000","1000",กรุงเทพฯ,-,-,"13",เขต 13 กรุงเทพมหานคร,,,"20230425104911"
"23360",คลินิกทันตกรรมสถานี ฟ.ฟัน,"36",Z,,,,,2009-04-27 00:00:00.000,"2009",,"0013",เอกชน,"001305",คลินิก (เอกชน),เอกชน,,,"2","100000","1000",กรุงเทพฯ,-,-,"13",เขต 13 กรุงเทพมหานคร,,,"20230425104911"
"23447",ลออคลินิกเวชกรรม,"36",Z,,,,,2009-04-27 00:00:00.000,"2009",,"0013",เอกชน,"001305",คลินิก (เอกชน),เอกชน,,,"2","100000","1000",กรุงเทพฯ,-,-,"13",เขต 13 กรุงเทพมหานคร,,,"20230425104911"
"23524",คลินิกกายภาพบำบัด เอ็นพี,"36",Z,,,,,2009-04-27 00:00:00.000,"2009",,"0013",เอกชน,"001305",คลินิก (เอกชน),เอกชน,,,"2","100000","1000",กรุงเทพฯ,-,-,"13",เขต 13 กรุงเทพมหานคร,,,"20230425104911"
"23109",โอนาโนคลินิกเวชกรรม,"36",Z,,,,,2009-04-27 00:00:00.000,"2009",,"0013",เอกชน,"001305",คลินิก (เอกชน),เอกชน,,,"2","100000","1000",กรุงเทพฯ,-,-,"13",เขต 13 กรุงเทพมหานคร,,,"20230425104911"
"22297",หมิงคลินิกการแพทย์แผนไทย,"36",Z,,,,,2009-04-27 00:00:00.000,"2009",,"0013",เอกชน,"001305",คลินิก (เอกชน),เอกชน,,,"2","100000","1000",กรุงเทพฯ,-,-,"13",เขต 13 กรุงเทพมหานคร,,,"20230425104911"
"22415",สวนธนคลินิกเวชกรรม,"36",Z,,,,,2009-04-27 00:00:00.000,"2009",,"0013",เอกชน,"001305",คลินิก (เอกชน),เอกชน,,,"2","100000","1000",กรุงเทพฯ,-,-,"13",เขต 13 กรุงเทพมหานคร,,,"20230425104911"
"22474",ทันตแพทย์สวนธนคลินิกทันตกรรม,"36",Z,,,,,2009-04-27 00:00:00.000,"2009",,"0013",เอกชน,"001305",คลินิก (เอกชน),เอกชน,,,"2","100000","1000",กรุงเทพฯ,-,-,"13",เขต 13 กรุงเทพมหานคร,,,"20230425104911"
"22710",บงกชคลินิกการแพทย์แผนไทย,"36",Z,,,,,2009-04-27 00:00:00.000,"2009",,"0013",เอกชน,"001305",คลินิก (เอกชน),เอกชน,,,"2","100000","1000",กรุงเทพฯ,-,-,"13",เขต 13 กรุงเทพมหานคร,,,"20230425104911"
